"","Origin.City","Origin.State","Destination.City","Destination.State","Class","Age","Gender","Type.of.Travel","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Flyer.Status","Total.Frequent.Flyer.Accounts","Loyalty","Likelihood.to.Recommend","Shopping.at.Airport","Eating.and.Drinking.at.Airport","Partner.Code","Partner.Name","Flight.Cancelled","Month.of.Flight","Day.of.Flight","Scheduled.Time.of.Departure","Departure.Delay.In.Minutes","Arrival.Delay.in.Minutes","Flight.Duration.in.Minutes","Flight.Distance","Origin.Longitude","Origin.Latitude","Destination.Longitude","Destination.Latitude","Comments"
"5450","Las Vegas","Nevada","Chicago","Illinois","Eco",78,"Female","Personal Travel",2,2012,22,"Silver",0,-0.4194,8,0,80,"WN","Cheapseats Airlines Inc.","No",1,4,8,42,20,172,1521,-115.1672,36.1349,-87.8954,41.8271,NA
"5451","Omaha","Nebraska","St. Louis","Missouri","Eco Plus",26,"Female","Business travel",2,2004,8,"Blue",1,0.2727,9,120,110,"WN","Cheapseats Airlines Inc.","No",2,2,9,0,0,53,342,-96.0346,41.2349,-90.3409,38.6307,NA
"5452","Columbus","Ohio","Los Angeles","California","Eco Plus",72,"Female","Personal Travel",1,2006,41,"Blue",0,-0.8636,6,0,210,"DL","Sigma Airlines Inc.","No",1,18,7,12,0,259,1995,-82.9685,40.0212,-118.1043,33.9827,NA
"5453","New York","New York","Miami","Florida","Eco",79,"Male","Personal Travel",2,2003,29,"Blue",0,-0.5676,4,0,120,"AA","Paul Smith Airlines Inc.","No",2,26,15,0,0,160,1089,-73.9702,40.7184,-80.2314,26.1756,NA
"5454","Boston","Massachusetts","Atlanta","Georgia","Eco",65,"Female","Business travel",1,2003,10,"Silver",0,-0.4286,8,120,90,"DL","Sigma Airlines Inc.","Yes",2,11,14,15.2988083416087,15.6108232011162,115.183775164441,946,-71.1407,42.3731,-84.3319,33.8241,NA
"5455","Brunswick","Georgia","Atlanta","Georgia","Eco",61,"Male","Personal Travel",1,2006,68,"Silver",0,-0.8133,6,0,25,"EV","FlyFast Airways Inc.","No",3,28,11,0,0,45,238,-81.5053,31.2154,-84.3319,33.8241,NA
"5456","Flint","Michigan","Atlanta","Georgia","Eco",68,"Male","Personal Travel",1,2008,37,"Blue",0,-0.6444,4,0,90,"EV","FlyFast Airways Inc.","No",3,24,17,0,0,104,645,-83.6947,42.9888,-84.3319,33.8241,NA
"5457","Atlanta","Georgia","Omaha","Nebraska","Eco",75,"Female","Personal Travel",2,2004,19,"Blue",0,-0.52,7,0,60,"DL","Sigma Airlines Inc.","No",2,17,11,0,0,129,821,-84.3319,33.8241,-96.0346,41.2349,NA
"5458","Atlanta","Georgia","Houston","Texas","Eco Plus",62,"Female","Business travel",0,2010,0,"Gold",0,1,10,0,130,"DL","Sigma Airlines Inc.","No",2,9,10,0,0,122,696,-84.3319,33.8241,-95.3935,29.7843,NA
"5459","Boston","Massachusetts","Miami","Florida","Eco",23,"Female","Mileage tickets",2,2007,27,"Blue",1,-0.6875,8,20,30,"AA","Paul Smith Airlines Inc.","No",2,8,17,0,0,191,1258,-71.1407,42.3731,-80.2314,26.1756,NA
"5460","Santa Barbara","California","Los Angeles","California","Eco",20,"Female","Business travel",1,2008,15,"Blue",0,-0.7647,9,30,30,"OO","Northwest Business Airlines Inc.","No",1,1,6,0,0,29,89,-119.7241,34.4275,-118.1043,33.9827,NA
"5461","Minneapolis","Minnesota","Baltimore","Maryland","Eco Plus",47,"Female","Business travel",1,2011,23,"Silver",0,-0.84,9,20,130,"DL","Sigma Airlines Inc.","No",3,25,13,0,0,125,936,-93.2798,44.9782,-76.6478,39.2341,NA
"5462","Los Angeles","California","Oklahoma City","Oklahoma","Business",57,"Female","Personal Travel",1,2004,15,"Blue",0,-0.4286,8,130,60,"MQ","EnjoyFlying Air Services","No",1,15,17,0,0,142,1187,-118.1043,33.9827,-97.5243,35.5048,NA
"5463","New York","New York","Charlotte","North Carolina","Business",60,"Female","Business travel",1,2005,23,"Blue",0,-0.4839,7,4,46,"MQ","EnjoyFlying Air Services","No",1,10,14,0,2,99,544,-73.9702,40.7184,-80.8158,35.2497,NA
"5464","Atlanta","Georgia","Oklahoma City","Oklahoma","Business",50,"Female","Business travel",1,2008,18,"Blue",1,-0.2857,8,0,40,"DL","Sigma Airlines Inc.","No",3,2,20,20,15,111,761,-84.3319,33.8241,-97.5243,35.5048,NA
"5465","Charlotte","North Carolina","Pittsburgh","Pennsylvania","Eco",39,"Female","Business travel",1,2010,1,"Blue",2,0.8182,8,0,40,"US","Southeast Airlines Co.","No",1,15,14,0,0,57,366,-80.8158,35.2497,-79.951,40.457,NA
"5466","Boston","Massachusetts","Washington","Virginia","Eco",18,"Male","Mileage tickets",1,2010,24,"Blue",2,-0.7143,10,0,75,"B6","OnlyJets Airlines Inc.","No",1,17,16,0,0,82,399,-71.1407,42.3731,-77.1897,38.8974,NA
"5467","Baltimore","Maryland","Providence","Rhode Island","Business",58,"Female","Personal Travel",1,2006,12,"Blue",0,-0.0909,5,50,115,"WN","Cheapseats Airlines Inc.","No",3,27,17,10,0,48,327,-76.6478,39.2341,-71.3974,41.7763,NA
"5468","Spokane","Washington","Seattle","Washington","Eco",80,"Female","Personal Travel",1,2010,21,"Blue",0,-0.3548,5,0,60,"AS","FlyToSun Airlines Inc.","No",2,24,8,0,0,43,224,-117.3523,47.6804,-122.2747,47.4684,NA
"5469","Las Vegas","Nevada","Reno","Nevada","Eco",37,"Female","Personal Travel",2,2003,0,"Gold",2,1,6,0,30,"WN","Cheapseats Airlines Inc.","No",1,29,9,7,0,60,345,-115.1672,36.1349,-119.7959,39.5326,NA
"5470","Las Vegas","Nevada","San Francisco","California","Business",56,"Male","Business travel",2,2010,10,"Blue",0,-0.0526,9,13,10,"VX","Cool&Young Airlines Inc.","No",3,22,13,0,0,66,414,-115.1672,36.1349,-122.1585,37.6712,NA
"5471","Minneapolis","Minnesota","New York","New York","Business",78,"Male","Personal Travel",2,2010,20,"Blue",0,-0.5385,8,30,105,"DL","Sigma Airlines Inc.","No",3,3,10,0,0,120,1020,-93.2798,44.9782,-73.9702,40.7184,NA
"5472","Cincinnati","Kentucky","Los Angeles","California","Eco",69,"Female","Business travel",1,2004,14,"Platinum",0,-0.4,9,60,44,"DL","Sigma Airlines Inc.","No",3,16,16,74,55,244,1900,-84.462,39.1855,-118.1043,33.9827,NA
"5473","Detroit","Michigan","Miami","Florida","Eco",51,"Female","Business travel",1,2003,5,"Silver",1,-0.25,9,60,150,"DL","Sigma Airlines Inc.","No",2,16,7,1,0,134,1145,-83.2276,42.49,-80.2314,26.1756,NA
"5474","Lubbock","Texas","Dallas","Texas","Eco",51,"Female","Business travel",1,2009,15,"Silver",1,-0.0345,10,20,135,"WN","Cheapseats Airlines Inc.","No",2,19,20,1,0,47,293,-101.8932,33.5592,-96.972,32.8127,NA
"5475","San Francisco","California","Medford","Oregon","Eco",41,"Female","Business travel",0,2006,13,"Gold",0,-0.3684,8,60,200,"OO","Northwest Business Airlines Inc.","No",3,11,19,0,0,77,329,-122.1585,37.6712,-122.8442,42.3364,NA
"5476","Buffalo","New York","Orlando","Florida","Eco Plus",53,"Female","Business travel",2,2003,22,"Blue",0,-0.375,9,0,15,"WN","Cheapseats Airlines Inc.","No",2,13,11,0,0,143,1011,-78.8237,42.9249,-81.4112,28.5844,NA
"5477","New York","New York","St. Louis","Missouri","Eco",85,"Male","Personal Travel",1,2009,47,"Blue",0,-0.88,7,0,60,"WN","Cheapseats Airlines Inc.","No",3,29,14,1,0,128,888,-73.9702,40.7184,-90.3409,38.6307,NA
"5478","Philadelphia","Pennsylvania","Boston","Massachusetts","Eco",36,"Male","Mileage tickets",1,2010,16,"Silver",0,-0.3333,8,0,15,"US","Southeast Airlines Co.","No",1,28,17,10,10,56,280,-75.2984,39.9733,-71.1407,42.3731,NA
"5479","Atlanta","Georgia","Phoenix","Arizona","Eco",75,"Male","Personal Travel",1,2008,56,"Blue",0,-0.8361,5,0,90,"DL","Sigma Airlines Inc.","No",1,24,14,15,6,227,1587,-84.3319,33.8241,-111.97,33.4941,NA
"5480","Helena","Montana","Salt Lake City","Utah","Business",85,"Female","Personal Travel",1,2006,22,"Blue",0,-0.6296,7,0,45,"OO","Northwest Business Airlines Inc.","No",3,10,6,0,0,60,402,-111.9935,46.6141,-111.9295,40.6408,NA
"5481","Washington","Virginia","Sacramento","California","Eco",45,"Female","Personal Travel",3,2009,20,"Blue",0,-0.4286,6,0,0,"OU","Oursin Airlines Inc.","No",1,16,17,9,0,290,2358,-77.1897,38.8974,-121.3247,38.6386,NA
"5482","Pittsburgh","Pennsylvania","Charlotte","North Carolina","Eco",74,"Female","Personal Travel",1,2009,25,"Blue",0,-0.5152,8,180,90,"US","Southeast Airlines Co.","No",1,19,8,0,2,60,366,-79.951,40.457,-80.8158,35.2497,NA
"5483","Charlotte","North Carolina","Atlanta","Georgia","Eco Plus",27,"Female","Mileage tickets",2,2003,2,"Gold",0,0.6667,8,8,30,"US","Southeast Airlines Co.","No",1,31,13,0,0,43,226,-80.8158,35.2497,-84.3319,33.8241,NA
"5484","San Francisco","California","Redding","California","Eco",38,"Female","Mileage tickets",2,2007,15,"Blue",2,-0.3043,10,245,110,"OO","Northwest Business Airlines Inc.","No",2,11,21,0,0,44,199,-122.1585,37.6712,-122.3634,40.5822,NA
"5485","Tampa","Florida","New Orleans","Louisiana","Eco",42,"Female","Business travel",1,2004,11,"Blue",1,-0.1,8,0,30,"WN","Cheapseats Airlines Inc.","No",3,1,18,8,0,80,488,-82.5132,28.0062,-90.1437,29.9547,NA
"5486","Philadelphia","Pennsylvania","Detroit","Michigan","Eco",33,"Male","Business travel",2,2003,8,"Silver",1,0.4667,10,35,180,"US","Southeast Airlines Co.","No",1,8,9,0,0,84,453,-75.2984,39.9733,-83.2276,42.49,NA
"5487","New Orleans","Louisiana","Miami","Florida","Eco",30,"Female","Business travel",1,2009,6,"Blue",3,0.7391,9,0,50,"AA","Paul Smith Airlines Inc.","No",1,17,6,0,0,82,675,-90.1437,29.9547,-80.2314,26.1756,NA
"5488","Traverse City","Michigan","Chicago","Illinois","Eco",42,"Female","Business travel",2,2007,0,"Gold",2,1,9,0,240,"MQ","EnjoyFlying Air Services","No",1,16,14,9,37,47,224,-85.624,44.731,-87.8954,41.8271,NA
"5489","Houston","Texas","Tampa","Florida","Eco Plus",49,"Female","Mileage tickets",1,2010,6,"Blue",0,0.25,6,40,55,"OU","Oursin Airlines Inc.","No",1,3,13,0,0,98,787,-95.3935,29.7843,-82.5132,28.0062,NA
"5490","Chicago","Illinois","Jacksonville","Florida","Eco",85,"Male","Personal Travel",2,2011,54,"Blue",0,-0.8,7,0,30,"EV","FlyFast Airways Inc.","No",1,14,13,0,1,128,864,-87.8954,41.8271,-81.6427,30.2401,NA
"5491","Rhinelander","Wisconsin","Minneapolis","Minnesota","Eco Plus",32,"Female","Business travel",1,2010,8,"Blue",2,0.3333,10,75,90,"OO","Northwest Business Airlines Inc.","No",2,14,7,0,1,36,190,-89.4324,45.6455,-93.2798,44.9782,NA
"5492","San Diego","California","Houston","Texas","Eco",52,"Male","Business travel",1,2007,40,"Blue",0,-0.8182,3,0,0,"WN","Cheapseats Airlines Inc.","No",3,25,13,0,0,152,1313,-117.1288,32.9287,-95.3935,29.7843,NA
"5493","Albuquerque","New Mexico","Denver","Colorado","Eco Plus",38,"Female","Mileage tickets",1,2005,18,"Gold",0,-0.3333,10,0,40,"EV","FlyFast Airways Inc.","No",2,16,9,0,0,56,349,-106.6281,35.1434,-104.9551,39.7108,NA
"5494","Houston","Texas","San Francisco","California","Eco",30,"Male","Business travel",2,2003,25,"Platinum",0,-0.6667,9,0,120,"OU","Oursin Airlines Inc.","No",2,6,11,106,110,229,1635,-95.3935,29.7843,-122.1585,37.6712,NA
"5495","Chicago","Illinois","Cincinnati","Kentucky","Eco",60,"Male","Business travel",1,2003,23,"Platinum",0,-0.7692,10,95,90,"MQ","EnjoyFlying Air Services","No",3,2,20,71,73,49,265,-87.8954,41.8271,-84.462,39.1855,NA
"5496","Chicago","Illinois","Fayetteville","Arkansas","Eco",34,"Male","Personal Travel",1,2003,1,"Silver",0,0,10,0,60,"MQ","EnjoyFlying Air Services","No",2,13,20,35,29,74,522,-87.8954,41.8271,-94.1798,36.2674,NA
"5497","Chicago","Illinois","Kansas City","Missouri","Eco",17,"Male","Personal Travel",1,2009,17,"Blue",2,-0.36,4,0,60,"WN","Cheapseats Airlines Inc.","No",1,13,7,0,0,74,405,-87.8954,41.8271,-94.5949,39.0398,NA
"5498","Tallahassee","Florida","Miami","Florida","Eco",34,"Female","Business travel",1,2008,4,"Silver",2,0.5789,10,25,75,"MQ","EnjoyFlying Air Services","No",1,13,8,0,0,64,402,-84.2689,30.4732,-80.2314,26.1756,NA
"5499","Boston","Massachusetts","New York","New York","Eco",44,"Female","Business travel",1,2007,10,"Blue",1,0.2857,9,5,65,"B6","OnlyJets Airlines Inc.","No",3,28,5,0,0,43,187,-71.1407,42.3731,-73.9702,40.7184,NA
"5500","St. Louis","Missouri","Kansas City","Missouri","Eco",53,"Female","Personal Travel",2,2007,12,"Blue",1,-0.6,7,120,150,"WN","Cheapseats Airlines Inc.","No",3,30,10,0,0,45,237,-90.3409,38.6307,-94.5949,39.0398,NA
"5501","New York","New York","Chicago","Illinois","Eco",32,"Male","Business travel",2,2006,40,"Blue",0,-0.7778,2,0,15,"OU","Oursin Airlines Inc.","No",1,9,7,0,13,121,733,-73.9702,40.7184,-87.8954,41.8271,NA
"5502","San Diego","California","Salt Lake City","Utah","Eco",41,"Male","Business travel",1,2003,8,"Blue",0,0,9,0,75,"DL","Sigma Airlines Inc.","No",1,12,10,0,0,91,626,-117.1288,32.9287,-111.9295,40.6408,NA
"5503","Baltimore","Maryland","Austin","Texas","Eco",52,"Female","Business travel",1,2003,24,"Blue",0,-0.4118,9,137,60,"WN","Cheapseats Airlines Inc.","No",3,14,9,9,1,205,1342,-76.6478,39.2341,-97.7615,30.3585,NA
"5504","San Francisco","California","Seattle","Washington","Eco",45,"Male","Business travel",1,2010,21,"Blue",1,-0.6154,10,0,120,"AS","FlyToSun Airlines Inc.","No",1,3,19,0,11,112,679,-122.1585,37.6712,-122.2747,47.4684,NA
"5505","Phoenix","Arizona","Boston","Massachusetts","Business",22,"Female","Business travel",1,2005,20,"Blue",0,-0.7391,9,5,65,"US","Southeast Airlines Co.","No",1,16,10,23,15,265,2300,-111.97,33.4941,-71.1407,42.3731,NA
"5506","Miami","Florida","New Orleans","Louisiana","Eco",72,"Female","Personal Travel",1,2007,43,"Blue",0,-0.6538,4,0,35,"AA","Paul Smith Airlines Inc.","No",1,1,16,0,0,104,675,-80.2314,26.1756,-90.1437,29.9547,NA
"5507","Detroit","Michigan","Hartford","Connecticut","Eco",31,"Male","Business travel",1,2006,12,"Blue",1,0.1111,8,25,20,"DL","Sigma Airlines Inc.","No",3,4,21,0,0,66,549,-83.2276,42.49,-72.6988,41.7401,NA
"5508","New York","New York","Los Angeles","California","Eco",26,"Male","Business travel",1,2003,5,"Blue",0,-0.6667,8,45,35,"AA","Paul Smith Airlines Inc.","No",3,30,21,0,3,350,2475,-73.9702,40.7184,-118.1043,33.9827,NA
"5509","Seattle","Washington","Chicago","Illinois","Eco Plus",34,"Female","Business travel",1,2003,1,"Blue",3,0.8947,8,60,90,"AS","FlyToSun Airlines Inc.","No",1,25,8,0,0,195,1721,-122.2747,47.4684,-87.8954,41.8271,NA
"5510","New York","New York","Los Angeles","California","Eco",63,"Female","Personal Travel",1,2012,51,"Blue",0,-0.8214,4,0,60,"AA","Paul Smith Airlines Inc.","No",2,18,8,15,61,357,2475,-73.9702,40.7184,-118.1043,33.9827,NA
"5511","Minneapolis","Minnesota","St. Louis","Missouri","Eco",49,"Male","Business travel",1,2006,12,"Blue",2,0.4419,10,0,90,"DL","Sigma Airlines Inc.","No",3,26,19,11,11,64,448,-93.2798,44.9782,-90.3409,38.6307,NA
"5512","Philadelphia","Pennsylvania","Atlanta","Georgia","Business",29,"Female","Business travel",2,2011,3,"Blue",3,0.7273,9,5,150,"DL","Sigma Airlines Inc.","No",2,3,7,0,23,108,666,-75.2984,39.9733,-84.3319,33.8241,NA
"5513","Las Vegas","Nevada","Phoenix","Arizona","Eco",56,"Male","Business travel",2,2010,12,"Silver",2,0.4,10,30,78,"WN","Cheapseats Airlines Inc.","No",3,7,18,0,0,44,255,-115.1672,36.1349,-111.97,33.4941,NA
"5514","Houston","Texas","Phoenix","Arizona","Eco",44,"Female","Personal Travel",1,2005,62,"Blue",0,-0.8507,7,20,50,"OU","Oursin Airlines Inc.","No",2,24,14,0,0,147,1009,-95.3935,29.7843,-111.97,33.4941,NA
"5515","New York","New York","Miami","Florida","Eco",41,"Male","Business travel",2,2003,33,"Blue",0,-0.6923,8,0,20,"AA","Paul Smith Airlines Inc.","No",3,11,7,0,0,146,1089,-73.9702,40.7184,-80.2314,26.1756,NA
"5516","Memphis","Tennessee","Atlanta","Georgia","Eco",80,"Female","Personal Travel",1,2009,33,"Blue",0,-0.6098,3,0,105,"DL","Sigma Airlines Inc.","No",3,5,12,0,0,50,332,-89.9179,35.0951,-84.3319,33.8241,NA
"5517","San Francisco","California","Phoenix","Arizona","Eco",73,"Male","Personal Travel",1,2004,25,"Blue",0,-0.8519,7,0,140,"US","Southeast Airlines Co.","No",3,24,6,0,3,97,651,-122.1585,37.6712,-111.97,33.4941,NA
"5518","Washington","Virginia","Columbia","South Carolina","Eco",66,"Female","Personal Travel",1,2008,24,"Blue",0,-0.92,6,0,145,"EV","FlyFast Airways Inc.","No",2,10,8,0,2,72,401,-77.1897,38.8974,-81.0772,34.0362,NA
"5519","Phoenix","Arizona","San Jose","California","Eco Plus",48,"Female","Mileage tickets",0,2011,21,"Blue",2,-0.3548,7,0,45,"US","Southeast Airlines Co.","No",2,4,8,0,4,108,621,-111.97,33.4941,-121.9451,37.3298,NA
"5520","St. Louis","Missouri","Boston","Massachusetts","Eco",62,"Male","Personal Travel",1,2010,46,"Blue",0,-0.7037,7,0,150,"WN","Cheapseats Airlines Inc.","No",2,16,8,0,0,131,1047,-90.3409,38.6307,-71.1407,42.3731,NA
"5521","Atlanta","Georgia","Richmond","Virginia","Eco",53,"Male","Business travel",1,2004,20,"Silver",0,-0.9048,10,25,75,"DL","Sigma Airlines Inc.","No",1,5,7,0,0,67,481,-84.3319,33.8241,-77.488,37.4779,NA
"5522","Salt Lake City","Utah","Lewiston","Idaho","Eco",70,"Female","Personal Travel",1,2004,51,"Platinum",0,-0.7288,8,0,90,"OO","Northwest Business Airlines Inc.","No",2,13,11,0,0,77,461,-111.9295,40.6408,-117.0273,46.3892,NA
"5523","Charleston","South Carolina","Atlanta","Georgia","Eco",42,"Male","Business travel",1,2005,7,"Blue",3,-0.0769,3,5,230,"DL","Sigma Airlines Inc.","No",1,18,10,0,0,52,259,-80.0155,32.9023,-84.3319,33.8241,NA
"5524","Los Angeles","California","Tucson","Arizona","Eco",33,"Male","Personal Travel",1,2011,10,"Blue",2,-0.6667,9,360,150,"OO","Northwest Business Airlines Inc.","No",1,3,13,0,0,63,451,-118.1043,33.9827,-110.9461,32.2549,NA
"5525","Denver","Colorado","Kansas City","Missouri","Eco",66,"Female","Personal Travel",1,2012,76,"Blue",0,-0.7674,4,0,50,"WN","Cheapseats Airlines Inc.","No",1,2,19,30,18,65,533,-104.9551,39.7108,-94.5949,39.0398,NA
"5526","Atlanta","Georgia","Knoxville","Tennessee","Eco",44,"Female","Business travel",2,2012,4,"Silver",3,0.3846,10,0,105,"DL","Sigma Airlines Inc.","No",1,14,22,0,0,30,152,-84.3319,33.8241,-84.0244,35.9168,NA
"5527","New Orleans","Louisiana","Dallas","Texas","Eco",48,"Female","Business travel",1,2011,6,"Silver",0,0.0769,9,80,70,"WN","Cheapseats Airlines Inc.","No",1,6,15,47,37,71,436,-90.1437,29.9547,-96.972,32.8127,NA
"5528","Chicago","Illinois","Columbus","Ohio","Eco",46,"Male","Business travel",2,2005,6,"Blue",0,0,8,0,30,"WN","Cheapseats Airlines Inc.","No",1,17,8,2,14,55,283,-87.8954,41.8271,-82.9685,40.0212,NA
"5529","Phoenix","Arizona","Boston","Massachusetts","Eco",24,"Female","Personal Travel",2,2010,47,"Blue",2,-0.5932,3,0,30,"US","Southeast Airlines Co.","No",3,15,12,0,0,260,2300,-111.97,33.4941,-71.1407,42.3731,NA
"5530","New York","New York","Burlington","Vermont","Eco",50,"Female","Business travel",1,2010,12,"Blue",0,-0.6,7,0,32,"EV","FlyFast Airways Inc.","No",1,5,9,123,159,39,258,-73.9702,40.7184,-73.1479,44.474,NA
"5531","Knoxville","Tennessee","Atlanta","Georgia","Eco",40,"Female","Personal Travel",2,2003,17,"Silver",0,-0.7,8,0,120,"EV","FlyFast Airways Inc.","No",3,13,9,0,0,31,152,-84.0244,35.9168,-84.3319,33.8241,NA
"5532","Chicago","Illinois","Charlotte","North Carolina","Eco",35,"Male","Business travel",1,2006,9,"Blue",2,0.1,8,0,60,"MQ","EnjoyFlying Air Services","No",3,13,6,0,0,78,599,-87.8954,41.8271,-80.8158,35.2497,NA
"5533","San Francisco","California","Sacramento","California","Eco",19,"Male","Business travel",1,2009,13,"Blue",1,-0.3684,9,45,55,"OO","Northwest Business Airlines Inc.","No",1,31,23,0,0,23,86,-122.1585,37.6712,-121.3247,38.6386,NA
"5534","Orlando","Florida","New Orleans","Louisiana","Business",30,"Male","Business travel",1,2009,29,"Blue",2,-0.2889,10,0,80,"WN","Cheapseats Airlines Inc.","No",3,19,9,6,0,89,551,-81.4112,28.5844,-90.1437,29.9547,NA
"5535","Atlanta","Georgia","Tallahassee","Florida","Eco",33,"Male","Business travel",1,2010,2,"Blue",2,0.875,9,0,30,"DL","Sigma Airlines Inc.","No",1,6,19,35,36,39,223,-84.3319,33.8241,-84.2689,30.4732,NA
"5536","Washington","Virginia","Atlanta","Georgia","Eco Plus",23,"Female","Business travel",1,2003,17,"Silver",2,0.4035,10,0,105,"WN","Cheapseats Airlines Inc.","No",2,20,6,0,26,95,547,-77.1897,38.8974,-84.3319,33.8241,NA
"5537","Atlanta","Georgia","Miami","Florida","Eco",70,"Male","Personal Travel",1,2003,54,"Blue",0,-0.9286,5,0,105,"DL","Sigma Airlines Inc.","No",3,14,13,3,6,78,594,-84.3319,33.8241,-80.2314,26.1756,NA
"5538","Phoenix","Arizona","San Jose","California","Eco",48,"Female","Personal Travel",1,2005,4,"Silver",0,-0.6,7,0,60,"WN","Cheapseats Airlines Inc.","No",1,15,19,40,33,89,621,-111.97,33.4941,-121.9451,37.3298,NA
"5539","Atlanta","Georgia","Denver","Colorado","Business",39,"Female","Business travel",2,2005,3,"Gold",2,-0.2,9,30,30,"DL","Sigma Airlines Inc.","No",3,8,14,11,0,166,1199,-84.3319,33.8241,-104.9551,39.7108,NA
"5540","Houston","Texas","Pensacola","Florida","Eco Plus",64,"Female","Personal Travel",1,2003,25,"Blue",0,-0.7857,1,0,45,"EV","FlyFast Airways Inc.","No",2,6,19,0,0,61,489,-95.3935,29.7843,-87.2534,30.4853,NA
"5541","Cleveland","Ohio","Denver","Colorado","Eco",30,"Male","Business travel",0,2007,48,"Blue",0,-0.9592,9,10,30,"OU","Oursin Airlines Inc.","No",1,18,9,0,0,162,1201,-81.6054,41.4436,-104.9551,39.7108,NA
"5542","Tampa","Florida","Philadelphia","Pennsylvania","Eco",19,"Female","Business travel",1,2007,30,"Blue",0,-0.875,9,180,30,"WN","Cheapseats Airlines Inc.","No",3,9,21,39,33,121,920,-82.5132,28.0062,-75.2984,39.9733,NA
"5543","Orlando","Florida","Detroit","Michigan","Eco",60,"Male","Personal Travel",2,2004,18,"Blue",0,-0.6364,7,185,45,"DL","Sigma Airlines Inc.","No",2,8,16,2,5,145,957,-81.4112,28.5844,-83.2276,42.49,NA
"5544","Aspen","Colorado","Denver","Colorado","Eco",39,"Female","Business travel",1,2006,10,"Blue",0,-0.8182,10,0,95,"OO","Northwest Business Airlines Inc.","No",3,23,15,0,0,28,125,-106.8403,39.1993,-104.9551,39.7108,NA
"5545","Albuquerque","New Mexico","Phoenix","Arizona","Eco",51,"Female","Business travel",1,2012,26,"Gold",1,-0.4857,8,30,30,"OO","Northwest Business Airlines Inc.","No",2,7,6,0,0,57,328,-106.6281,35.1434,-111.97,33.4941,NA
"5546","Los Angeles","California","Denver","Colorado","Eco",50,"Male","Business travel",1,2010,7,"Blue",1,0.0667,10,0,105,"OU","Oursin Airlines Inc.","No",2,9,15,114,106,106,862,-118.1043,33.9827,-104.9551,39.7108,NA
"5547","Denver","Colorado","Indianapolis","Indiana","Eco Plus",18,"Female","Business travel",2,2006,8,"Blue",1,-0.0667,8,165,10,"F9","GoingNorth Airlines Inc.","No",3,21,10,0,0,111,977,-104.9551,39.7108,-86.1455,39.8113,NA
"5548","Albany","New York","Chicago","Illinois","Eco",31,"Male","Personal Travel",3,2009,24,"Blue",0,-0.7778,4,0,7,"EV","FlyFast Airways Inc.","No",2,21,12,32,32,121,723,-73.7994,42.7439,-87.8954,41.8271,NA
"5549","Atlanta","Georgia","Boston","Massachusetts","Eco",17,"Female","Business travel",2,2009,8,"Blue",4,0.1111,6,60,20,"DL","Sigma Airlines Inc.","No",1,7,19,82,68,109,946,-84.3319,33.8241,-71.1407,42.3731,NA
"5550","Phoenix","Arizona","Indianapolis","Indiana","Eco",36,"Male","Mileage tickets",1,2003,9,"Blue",0,-0.125,10,0,80,"US","Southeast Airlines Co.","No",1,22,9,0,0,168,1488,-111.97,33.4941,-86.1455,39.8113,NA
"5551","Salt Lake City","Utah","Minneapolis","Minnesota","Eco",80,"Female","Personal Travel",1,2005,4,"Blue",0,0.2,6,0,0,"DL","Sigma Airlines Inc.","No",2,8,10,11,0,117,991,-111.9295,40.6408,-93.2798,44.9782,NA
"5552","Birmingham","Alabama","Dallas","Texas","Eco",15,"Female","Personal Travel",1,2006,18,"Blue",1,-0.2857,4,210,30,"WN","Cheapseats Airlines Inc.","No",1,22,7,0,3,97,587,-86.792,33.4691,-96.972,32.8127,NA
"5553","Washington","Virginia","Atlanta","Georgia","Eco",19,"Male","Mileage tickets",1,2011,8,"Blue",1,-0.3333,9,0,190,"DL","Sigma Airlines Inc.","No",2,23,11,0,5,92,547,-77.1897,38.8974,-84.3319,33.8241,NA
"5554","Philadelphia","Pennsylvania","Las Vegas","Nevada","Eco",46,"Female","Business travel",2,2009,24,"Blue",2,-0.4118,9,0,60,"US","Southeast Airlines Co.","No",2,11,18,2,0,304,2176,-75.2984,39.9733,-115.1672,36.1349,NA
"5555","Charlotte","North Carolina","Kansas City","Missouri","Eco",48,"Male","Personal Travel",1,2004,17,"Blue",1,-0.1724,4,60,50,"US","Southeast Airlines Co.","No",1,1,13,0,15,142,808,-80.8158,35.2497,-94.5949,39.0398,NA
"5556","Los Angeles","California","Atlanta","Georgia","Eco",38,"Female","Personal Travel",2,2005,23,"Blue",4,-0.7692,6,170,30,"DL","Sigma Airlines Inc.","No",3,24,14,0,0,209,1947,-118.1043,33.9827,-84.3319,33.8241,NA
"5557","Denver","Colorado","Austin","Texas","Eco",77,"Male","Mileage tickets",1,2003,41,"Silver",0,-0.7083,9,0,165,"WN","Cheapseats Airlines Inc.","No",1,31,9,148,156,101,775,-104.9551,39.7108,-97.7615,30.3585,NA
"5558","Lubbock","Texas","Dallas","Texas","Eco",50,"Male","Business travel",1,2012,4,"Blue",0,0.2,8,0,150,"WN","Cheapseats Airlines Inc.","No",1,13,16,6,9,52,293,-101.8932,33.5592,-96.972,32.8127,NA
